Sample,GNP_wt_pct,Sintering_Temperature_C,Extruded_Density_g_cm3,Mean_Equivalent_Grain_Diameter_um,Hardness_HRB,UTS_MPa,COF,Mass_Loss_g
S1,0,500,2.735,43.798849,18.5,79,0.591,0.0039
S2,0,550,2.711,102.474311,18.0,76,0.595,0.0030
S3,0,600,2.663,33.142224,18.5,128,0.611,0.0036
S4,2,500,2.445,38.842631,20.33,80,0.407,0.0064
S5,2,550,2.635,42.531777,21.2,95,0.379,0.0024
S6,2,600,2.706,24.727329,22.4,105,0.595,0.0055
S7,3,500,2.623,35.633360,20.6,88,0.508,0.0041
S8,3,550,2.630,44.232275,21.76,78,0.458,0.0060
S9,3,600,2.662,51.537011,22.37,90,0.399,0.0054
S10,4,500,2.671,56.536368,20.75,120,0.389,0.0098
S11,4,550,2.649,47.624555,23.4,129,0.577,0.0030
S12,4,600,2.696,44.605744,24.5,98,0.125,0.0040
